TR:intraepithelialneoplasia:CellLine,TR:EGFRi,TR:JAKi,TR:AktPi,TR:PDPK1i,TR:MEKi,TR:AktMi,TR:IKKsi,TR:PI3Ki,TR:TNF,TR:EGF,DA:ALL,DV:Cas3
1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0,1,0,0
1,0,1,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,1,1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,1,0,0,0,1,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,1,0,1,0,1,0,0
1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,0,0,1,0,0,0,1,1,0,0
1,0,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,0,0,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,0,1,30,0
1,1,0,0,0,0,0,0,0,0,1,30,0
1,0,1,0,0,0,0,0,0,0,1,30,0
1,1,1,0,0,0,0,0,0,0,1,30,0
1,0,0,1,1,0,0,0,0,0,1,30,0.307977478797168
1,1,0,1,1,0,0,0,0,0,1,30,0
1,0,1,1,1,0,0,0,0,0,1,30,0.579918667252247
1,0,0,0,0,1,0,0,0,0,1,30,0.258190666463932
1,1,0,0,0,1,0,0,0,0,1,30,0.185236001616975
1,0,1,0,0,1,0,0,0,0,1,30,0.461075652033383
1,0,0,1,1,1,0,0,0,0,1,30,0.912359229284201
1,0,0,0,0,0,1,0,0,0,1,30,0.424827688023263
1,1,0,0,0,0,1,0,0,0,1,30,0.496336263567369
1,0,1,0,0,0,1,0,0,0,1,30,0.329692035894302
1,0,0,1,1,0,1,0,0,0,1,30,0.458088774695164
1,0,0,0,0,1,1,0,0,0,1,30,0.216620490766229
1,0,0,0,0,0,0,1,0,0,1,30,0
1,1,0,0,0,0,0,1,0,0,1,30,0
1,0,1,0,0,0,0,1,0,0,1,30,0.147703747042555
1,0,0,1,1,0,0,1,0,0,1,30,0
1,0,0,0,0,1,0,1,0,0,1,30,0
1,0,0,0,0,0,1,1,0,0,1,30,0.35987554644871
1,0,0,0,0,0,0,0,1,0,1,30,0.40479016737108
1,1,0,0,0,0,0,0,1,0,1,30,0.128762923817467
1,0,1,0,0,0,0,0,1,0,1,30,0
1,0,0,1,1,0,0,0,1,0,1,30,0.589828988823737
1,0,0,0,0,1,0,0,1,0,1,30,0
1,0,0,0,0,0,1,0,1,0,1,30,1
1,0,0,0,0,0,0,1,1,0,1,30,0
1,0,0,0,0,0,0,0,0,1,1,30,0.193470982467741
1,1,0,0,0,0,0,0,0,1,1,30,0.184511865481227
1,0,1,0,0,0,0,0,0,1,1,30,0
1,0,0,1,1,0,0,0,0,1,1,30,0.363348510678565
1,0,0,0,0,1,0,0,0,1,1,30,0.184944226731862
1,0,0,0,0,0,1,0,0,1,1,30,0.254194782262131
1,0,0,0,0,0,0,1,0,1,1,30,0
1,0,0,0,0,0,0,0,1,1,1,30,0.264463812466837
