TR:livermetastasis:CellLine,TR:EGFRi,TR:JAKi,TR:AktPi,TR:PDPK1i,TR:MEKi,TR:AktMi,TR:IKKsi,TR:PI3Ki,TR:TNF,TR:EGF,DA:ALL,DV:Cas3
1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0,1,0,0
1,0,1,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,1,1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,NA
1,1,0,0,0,0,1,0,0,0,1,0,NA
1,0,1,0,0,0,1,0,0,0,1,0,NA
1,0,0,1,1,0,1,0,0,0,1,0,NA
1,0,0,0,0,1,1,0,0,0,1,0,NA
1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,1,1,0,0,1,0,NA
1,0,0,0,0,0,0,0,1,0,1,0,NA
1,1,0,0,0,0,0,0,1,0,1,0,NA
1,0,1,0,0,0,0,0,1,0,1,0,NA
1,0,0,1,1,0,0,0,1,0,1,0,NA
1,0,0,0,0,1,0,0,1,0,1,0,NA
1,0,0,0,0,0,1,0,1,0,1,0,NA
1,0,0,0,0,0,0,1,1,0,1,0,NA
1,0,0,0,0,0,0,0,0,1,1,0,NA
1,1,0,0,0,0,0,0,0,1,1,0,NA
1,0,1,0,0,0,0,0,0,1,1,0,NA
1,0,0,1,1,0,0,0,0,1,1,0,NA
1,0,0,0,0,1,0,0,0,1,1,0,NA
1,0,0,0,0,0,1,0,0,1,1,0,NA
1,0,0,0,0,0,0,1,0,1,1,0,NA
1,0,0,0,0,0,0,0,1,1,1,0,NA
1,0,0,0,0,0,0,0,0,0,1,30,0
1,1,0,0,0,0,0,0,0,0,1,30,0
1,0,1,0,0,0,0,0,0,0,1,30,0
1,1,1,0,0,0,0,0,0,0,1,30,0
1,0,0,1,1,0,0,0,0,0,1,30,0.380574895733821
1,1,0,1,1,0,0,0,0,0,1,30,0.593928800183273
1,0,1,1,1,0,0,0,0,0,1,30,0.0535388376594475
1,0,0,0,0,1,0,0,0,0,1,30,0.278577911216279
1,1,0,0,0,1,0,0,0,0,1,30,0.539751033529391
1,0,1,0,0,1,0,0,0,0,1,30,0.213728311126329
1,0,0,1,1,1,0,0,0,0,1,30,1
1,0,0,0,0,0,1,0,0,0,1,30,NA
1,1,0,0,0,0,1,0,0,0,1,30,NA
1,0,1,0,0,0,1,0,0,0,1,30,NA
1,0,0,1,1,0,1,0,0,0,1,30,NA
1,0,0,0,0,1,1,0,0,0,1,30,NA
1,0,0,0,0,0,0,1,0,0,1,30,0.212984419342856
1,1,0,0,0,0,0,1,0,0,1,30,0.441182284619098
1,0,1,0,0,0,0,1,0,0,1,30,0.452057914264119
1,0,0,1,1,0,0,1,0,0,1,30,0.462629459320588
1,0,0,0,0,1,0,1,0,0,1,30,0.427817232759313
1,0,0,0,0,0,1,1,0,0,1,30,NA
1,0,0,0,0,0,0,0,1,0,1,30,NA
1,1,0,0,0,0,0,0,1,0,1,30,NA
1,0,1,0,0,0,0,0,1,0,1,30,NA
1,0,0,1,1,0,0,0,1,0,1,30,NA
1,0,0,0,0,1,0,0,1,0,1,30,NA
1,0,0,0,0,0,1,0,1,0,1,30,NA
1,0,0,0,0,0,0,1,1,0,1,30,NA
1,0,0,0,0,0,0,0,0,1,1,30,NA
1,1,0,0,0,0,0,0,0,1,1,30,NA
1,0,1,0,0,0,0,0,0,1,1,30,NA
1,0,0,1,1,0,0,0,0,1,1,30,NA
1,0,0,0,0,1,0,0,0,1,1,30,NA
1,0,0,0,0,0,1,0,0,1,1,30,NA
1,0,0,0,0,0,0,1,0,1,1,30,NA
1,0,0,0,0,0,0,0,1,1,1,30,NA
