TR:primarytumor2:CellLine,TR:EGFRi,TR:JAKi,TR:AktPi,TR:PDPK1i,TR:MEKi,TR:AktMi,TR:IKKsi,TR:PI3Ki,TR:TNF,TR:EGF,DA:ALL,DV:Cas3
1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0,1,0,0
1,0,1,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,1,1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,1,0,0,0,1,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,1,0,1,0,1,0,0
1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,0,0,1,0,0,0,1,1,0,0
1,0,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,0,0,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,0,1,30,0
1,1,0,0,0,0,0,0,0,0,1,30,0
1,0,1,0,0,0,0,0,0,0,1,30,0
1,1,1,0,0,0,0,0,0,0,1,30,0.276676506354133
1,0,0,1,1,0,0,0,0,0,1,30,0
1,1,0,1,1,0,0,0,0,0,1,30,0
1,0,1,1,1,0,0,0,0,0,1,30,0.161855879232489
1,0,0,0,0,1,0,0,0,0,1,30,0
1,1,0,0,0,1,0,0,0,0,1,30,0.168313887356388
1,0,1,0,0,1,0,0,0,0,1,30,0.298955157528038
1,0,0,1,1,1,0,0,0,0,1,30,0.0708113315615669
1,0,0,0,0,0,1,0,0,0,1,30,0.26188610769798
1,1,0,0,0,0,1,0,0,0,1,30,0.589577347115174
1,0,1,0,0,0,1,0,0,0,1,30,0.36273889692929
1,0,0,1,1,0,1,0,0,0,1,30,0.343165500850894
1,0,0,0,0,1,1,0,0,0,1,30,0.309236061498344
1,0,0,0,0,0,0,1,0,0,1,30,0.343273894526968
1,1,0,0,0,0,0,1,0,0,1,30,0.218235976484391
1,0,1,0,0,0,0,1,0,0,1,30,0.510054888737123
1,0,0,1,1,0,0,1,0,0,1,30,0.303949307912166
1,0,0,0,0,1,0,1,0,0,1,30,0
1,0,0,0,0,0,1,1,0,0,1,30,0.72929485204567
1,0,0,0,0,0,0,0,1,0,1,30,0.145107807244307
1,1,0,0,0,0,0,0,1,0,1,30,0
1,0,1,0,0,0,0,0,1,0,1,30,0.241793168460537
1,0,0,1,1,0,0,0,1,0,1,30,0.628249954148266
1,0,0,0,0,1,0,0,1,0,1,30,0
1,0,0,0,0,0,1,0,1,0,1,30,0.369866830283256
1,0,0,0,0,0,0,1,1,0,1,30,0.442368959541593
1,0,0,0,0,0,0,0,0,1,1,30,0
1,1,0,0,0,0,0,0,0,1,1,30,0
1,0,1,0,0,0,0,0,0,1,1,30,0.385150514528761
1,0,0,1,1,0,0,0,0,1,1,30,0.174674714414875
1,0,0,0,0,1,0,0,0,1,1,30,0.418332160084659
1,0,0,0,0,0,1,0,0,1,1,30,0.421989098898106
1,0,0,0,0,0,0,1,0,1,1,30,0
1,0,0,0,0,0,0,0,1,1,1,30,0
